                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88996,                 2.1741,                0.98994,                0.95128,                0.93638,                0.97767,                0.81883,                0.67343,                0.58002,                0.89282,              0.0033316,              0.0033316,              0.0033316
                      2,                0.79679,                0.89266,                0.94597,                0.96004,                0.94163,                0.98256,                0.82343,                0.67323,                 0.4649,                0.90348,               0.006599,               0.006599,               0.006599
                      3,                0.82557,                0.72643,                0.96726,                0.97913,                 0.9564,                0.98692,                0.82816,                0.66984,                0.41045,                0.91473,              0.0098003,              0.0098003,              0.0098003
                      4,                0.80379,                0.64443,                0.96129,                0.98173,                0.98134,                0.99276,                0.85872,                0.61885,                0.32045,                0.89007,               0.009703,               0.009703,               0.009703
                      5,                0.76466,                0.57178,                0.94498,                 0.9883,                0.98346,                0.99322,                0.86726,                0.59342,                0.28632,                0.87459,               0.009703,               0.009703,               0.009703
                      6,                 0.7463,                0.53569,                0.93329,                0.98967,                0.98744,                  0.994,                0.87175,                0.58688,                0.26968,                0.87124,               0.009604,               0.009604,               0.009604
                      7,                0.73456,                 0.5168,                0.92896,                 0.9913,                0.98601,                 0.9942,                0.87475,                0.58198,                0.26094,                0.86893,               0.009505,               0.009505,               0.009505
                      8,                0.72714,                0.50287,                 0.9257,                 0.9918,                0.98778,                0.99429,                0.87815,                0.57737,                0.25496,                0.86692,               0.009406,               0.009406,               0.009406
                      9,                0.71987,                 0.4916,                0.92243,                0.99195,                0.98825,                0.99444,                0.87909,                0.57341,                0.24994,                0.86516,               0.009307,               0.009307,               0.009307
                     10,                0.71676,                0.48395,                0.92114,                0.99209,                0.98941,                0.99449,                0.88062,                0.57126,                0.24645,                0.86407,               0.009208,               0.009208,               0.009208
                     11,                0.71226,                0.47979,                0.91958,                0.99241,                0.98969,                0.99456,                0.88111,                0.57052,                0.24494,                0.86348,               0.009109,               0.009109,               0.009109
                     12,                0.71027,                0.47401,                0.91875,                0.99213,                0.99013,                0.99458,                0.88149,                0.56957,                0.24373,                0.86307,                0.00901,                0.00901,                0.00901
                     13,                0.70772,                0.47062,                0.91751,                0.99263,                0.99008,                0.99462,                0.88196,                 0.5687,                0.24309,                0.86255,               0.008911,               0.008911,               0.008911
                     14,                0.70508,                0.46461,                0.91579,                0.99256,                 0.9898,                0.99461,                0.88296,                0.56773,                0.24213,                0.86205,               0.008812,               0.008812,               0.008812
                     15,                0.70345,                0.46331,                0.91606,                0.99206,                0.99062,                0.99463,                0.88301,                0.56753,                0.24104,                0.86187,               0.008713,               0.008713,               0.008713
                     16,                 0.7019,                0.45978,                0.91474,                0.99301,                0.98973,                0.99468,                0.88289,                0.56665,                0.23943,                 0.8619,               0.008614,               0.008614,               0.008614
                     17,                0.70053,                0.45741,                 0.9148,                0.99277,                 0.9902,                0.99471,                0.88309,                 0.5661,                0.23845,                0.86166,               0.008515,               0.008515,               0.008515
                     18,                0.69849,                0.45439,                0.91421,                0.99087,                0.99172,                0.99471,                0.88307,                0.56526,                0.23712,                0.86136,               0.008416,               0.008416,               0.008416
                     19,                0.69819,                0.45519,                0.91372,                0.99246,                 0.9911,                 0.9947,                 0.8842,                0.56424,                0.23655,                0.86109,               0.008317,               0.008317,               0.008317
                     20,                0.69598,                0.45109,                0.91342,                 0.9933,                0.99036,                0.99472,                0.88455,                0.56365,                0.23532,                0.86093,               0.008218,               0.008218,               0.008218
                     21,                0.69614,                0.45075,                 0.9131,                0.99041,                0.99246,                0.99469,                0.88489,                0.56301,                0.23484,                0.86087,               0.008119,               0.008119,               0.008119
                     22,                0.69316,                0.44727,                0.91252,                0.99054,                0.99309,                 0.9947,                 0.8849,                0.56268,                0.23458,                0.86071,                0.00802,                0.00802,                0.00802
                     23,                0.69179,                0.44559,                0.91133,                0.99015,                0.99359,                0.99471,                0.88503,                0.56227,                0.23345,                0.86054,               0.007921,               0.007921,               0.007921
                     24,                0.69109,                0.44348,                0.91134,                0.99058,                0.99301,                 0.9947,                0.88618,                0.56144,                0.23252,                0.86025,               0.007822,               0.007822,               0.007822
                     25,                0.69169,                0.44274,                0.91125,                0.99335,                0.99042,                0.99471,                0.88637,                0.56072,                0.23173,                0.86005,               0.007723,               0.007723,               0.007723
                     26,                0.69087,                 0.4404,                0.91107,                0.99416,                0.99068,                0.99472,                0.88615,                0.56057,                 0.2313,                0.85992,               0.007624,               0.007624,               0.007624
                     27,                0.68844,                 0.4392,                0.90927,                0.99317,                0.99125,                0.99473,                0.88642,                0.56017,                0.23005,                0.85977,               0.007525,               0.007525,               0.007525
                     28,                0.68843,                0.43847,                0.91011,                0.99304,                 0.9916,                0.99469,                0.88655,                0.55976,                0.22927,                0.85967,               0.007426,               0.007426,               0.007426
                     29,                0.68737,                0.43736,                0.91003,                0.99377,                0.99102,                0.99464,                0.88658,                0.55958,                0.22871,                0.85969,               0.007327,               0.007327,               0.007327
                     30,                0.68581,                0.43442,                 0.9091,                0.99234,                0.99247,                0.99461,                0.88665,                0.55948,                0.22804,                0.85943,               0.007228,               0.007228,               0.007228
                     31,                0.68509,                0.43265,                0.90868,                0.99249,                0.99276,                0.99457,                0.88661,                0.55915,                0.22718,                0.85938,               0.007129,               0.007129,               0.007129
                     32,                0.68373,                0.43168,                0.90903,                0.99223,                0.99352,                0.99456,                0.88673,                0.55882,                0.22653,                0.85933,                0.00703,                0.00703,                0.00703
                     33,                0.68471,                0.43106,                 0.9087,                0.99231,                 0.9933,                0.99452,                0.88666,                0.55853,                0.22638,                0.85928,               0.006931,               0.006931,               0.006931
                     34,                0.68273,                0.42843,                0.90795,                0.99227,                0.99301,                0.99452,                0.88638,                0.55833,                0.22597,                0.85923,               0.006832,               0.006832,               0.006832
                     35,                0.68238,                0.42823,                0.90831,                0.99194,                0.99383,                0.99459,                0.88695,                0.55826,                0.22552,                0.85923,               0.006733,               0.006733,               0.006733
                     36,                 0.6816,                0.42607,                0.90736,                0.99173,                0.99413,                0.99462,                0.88726,                0.55829,                0.22495,                0.85918,               0.006634,               0.006634,               0.006634
                     37,                0.68003,                0.42469,                0.90693,                0.99256,                 0.9928,                0.99465,                0.88754,                0.55802,                0.22479,                0.85897,               0.006535,               0.006535,               0.006535
                     38,                0.67929,                0.42313,                0.90723,                0.99322,                0.99257,                0.99467,                0.88824,                0.55761,                0.22381,                0.85873,               0.006436,               0.006436,               0.006436
